"","uid","session","period","sessionper","average_pearson"
"1","C4620081 M1","1","baseline","1 baseline",0.0512542075030032
"2","C4620081 M2","1","baseline","1 baseline",0.0609882773013167
"3","C4620081 M3","1","baseline","1 baseline",0.0745915899339099
"4","C4620081 M4","1","baseline","1 baseline",0.120145764852992
"5","C4620081 M5","1","baseline","1 baseline",0.174489708324819
"6","C4620083 M1","1","baseline","1 baseline",0.0982250962057807
"7","C4620083 M2","1","baseline","1 baseline",0.111823000087111
"8","C4620083 M3","1","baseline","1 baseline",0.235473283745996
"9","C4620083 M4","1","baseline","1 baseline",0.0202723114798135
"10","C4620081 M2","1","posttmt","1 posttmt",0.0544036282233189
"11","C4620081 M3","1","posttmt","1 posttmt",0.0526969002837522
"12","C4620081 M4","1","posttmt","1 posttmt",0.0577984494419897
"13","C4620081 M5","1","posttmt","1 posttmt",0.152077402386779
"14","C4620083 M1","1","posttmt","1 posttmt",0.0544507060444879
"15","C4620083 M2","1","posttmt","1 posttmt",0.0841612046788133
"16","C4620083 M3","1","posttmt","1 posttmt",0.361678506773297
"17","C4620083 M4","1","posttmt","1 posttmt",0.0286062470771388
"18","C4620081 M2","1","reward","1 reward",0.0759828140145619
"19","C4620081 M3","1","reward","1 reward",0.0641801550851391
"20","C4620081 M4","1","reward","1 reward",0.0637415150235686
"21","C4620081 M5","1","reward","1 reward",0.201604999795828
"22","C4620083 M1","1","reward","1 reward",0.191703997300333
"23","C4620083 M2","1","reward","1 reward",0.108800947095432
"24","C4620083 M3","1","reward","1 reward",0.253373758650452
"25","C4620083 M4","1","reward","1 reward",0.0299889954052671
"26","C4620081 M2","1","tmt","1 tmt",0.0237407382023937
"27","C4620081 M3","1","tmt","1 tmt",0.0284438606360674
"28","C4620081 M4","1","tmt","1 tmt",0.0414840998247915
"29","C4620081 M5","1","tmt","1 tmt",0.148995298603461
"30","C4620083 M1","1","tmt","1 tmt",0.0718099900403765
"31","C4620083 M2","1","tmt","1 tmt",0.110539638095876
"32","C4620083 M3","1","tmt","1 tmt",0.187288796391032
"33","C4620083 M4","1","tmt","1 tmt",0.0266761578941145
"34","C4620081 M1","14","baseline","14 baseline",0.0474103164994359
"35","C4620081 M2","14","baseline","14 baseline",0.0262336948097911
"36","C4620081 M3","14","baseline","14 baseline",0.0475151709155097
"37","C4620081 M4","14","baseline","14 baseline",0.0306667662591477
"38","C4620081 M5","14","baseline","14 baseline",0.0386300900869242
"39","C4620083 M1","14","baseline","14 baseline",0.217865336622104
"40","C4620083 M2","14","baseline","14 baseline",0.0213855684882633
"41","C4620083 M3","14","baseline","14 baseline",0.0575108519307258
"42","C4620081 M1","14","posttmt","14 posttmt",0.0388551817933898
"43","C4620081 M2","14","posttmt","14 posttmt",0.0254185062517873
"44","C4620081 M3","14","posttmt","14 posttmt",0.0318294582551279
"45","C4620081 M4","14","posttmt","14 posttmt",0.0439547232408828
"46","C4620081 M5","14","posttmt","14 posttmt",0.0203414823608743
"47","C4620083 M1","14","posttmt","14 posttmt",0.223405808006702
"48","C4620083 M2","14","posttmt","14 posttmt",0.0185347211505033
"49","C4620083 M3","14","posttmt","14 posttmt",0.271304720178309
"50","C4620081 M1","14","reward","14 reward",0.0452836632316947
"51","C4620081 M2","14","reward","14 reward",0.0266943599614842
"52","C4620081 M3","14","reward","14 reward",0.0416614849152207
"53","C4620081 M4","14","reward","14 reward",0.0416956188011347
"54","C4620081 M5","14","reward","14 reward",0.0335467610047447
"55","C4620083 M1","14","reward","14 reward",0.174100694804315
"56","C4620083 M2","14","reward","14 reward",0.0267407387505405
"57","C4620083 M3","14","reward","14 reward",0.103308443475791
"58","C4620081 M1","14","tmt","14 tmt",0.0296687477848253
"59","C4620081 M2","14","tmt","14 tmt",0.0221805244352505
"60","C4620081 M3","14","tmt","14 tmt",0.0626657149367306
"61","C4620081 M4","14","tmt","14 tmt",0.0380884407657927
"62","C4620081 M5","14","tmt","14 tmt",0.0286703405801678
"63","C4620083 M1","14","tmt","14 tmt",0.230302635756829
"64","C4620083 M2","14","tmt","14 tmt",0.0173973660924566
"65","C4620083 M3","14","tmt","14 tmt",0.288077189064816
"66","C4620081 M1","7","baseline","7 baseline",0.0244308617938066
"67","C4620081 M2","7","baseline","7 baseline",0.0561626703202312
"68","C4620081 M3","7","baseline","7 baseline",0.0492696342031806
"69","C4620081 M4","7","baseline","7 baseline",0.0838358154828172
"70","C4620083 M1","7","baseline","7 baseline",0.101685694839339
"71","C4620083 M2","7","baseline","7 baseline",0.0483580036512401
"72","C4620083 M3","7","baseline","7 baseline",0.258650155474348
"73","C4620083 M4","7","baseline","7 baseline",0.0274174725017821
"74","C4620081 M1","7","posttmt","7 posttmt",0.0369125992425565
"75","C4620081 M2","7","posttmt","7 posttmt",0.0521712410013205
"76","C4620081 M3","7","posttmt","7 posttmt",0.0411072841711912
"77","C4620081 M4","7","posttmt","7 posttmt",0.120684239290359
"78","C4620083 M1","7","posttmt","7 posttmt",0.137399208540425
"79","C4620083 M2","7","posttmt","7 posttmt",0.0387462431972464
"80","C4620083 M3","7","posttmt","7 posttmt",0.530849166416069
"81","C4620083 M4","7","posttmt","7 posttmt",0.0491030777714479
"82","C4620081 M1","7","reward","7 reward",0.0224945222762218
"83","C4620081 M2","7","reward","7 reward",0.0539853167796438
"84","C4620081 M3","7","reward","7 reward",0.0528353120218132
"85","C4620081 M4","7","reward","7 reward",0.0818760804917751
"86","C4620083 M1","7","reward","7 reward",0.195720699701432
"87","C4620083 M2","7","reward","7 reward",0.0340392311032134
"88","C4620083 M3","7","reward","7 reward",0.392920593945144
