,day,cage,mouse,trialname1,trialname2,trialtype,vectorangle,vectordis
0,Day1,C4620083,M1,Water,Vanilla,NonTMT,66.0,88.65984738401792
1,Day1,C4620083,M1,Water,PeanutButter,NonTMT,119.0,157.20192194065547
2,Day1,C4620083,M1,Water,TMT,TMT,96.0,102.50399002008982
3,Day1,C4620083,M1,Vanilla,Vanilla,NonTMT,118.0,156.03993466824397
4,Day1,C4620083,M1,Vanilla,PeanutButter,NonTMT,59.0,98.44633025783617
5,Day1,C4620083,M1,Vanilla,TMT,TMT,76.0,101.83745028683951
6,Day1,C4620083,M1,PeanutButter,Vanilla,NonTMT,103.0,107.18691050721306
7,Day1,C4620083,M1,PeanutButter,PeanutButter,NonTMT,76.0,101.70356154921568
8,Day1,C4620083,M1,PeanutButter,TMT,TMT,89.0,74.61030876331192
0,Day1,C4620083,M2,Water,Vanilla,NonTMT,83.0,74.79791781965335
1,Day1,C4620083,M2,Water,PeanutButter,NonTMT,102.0,120.7952605298292
2,Day1,C4620083,M2,Water,TMT,TMT,89.0,78.89589307289107
3,Day1,C4620083,M2,Vanilla,Vanilla,NonTMT,100.0,119.11091956917446
4,Day1,C4620083,M2,Vanilla,PeanutButter,NonTMT,79.0,121.15831129346915
5,Day1,C4620083,M2,Vanilla,TMT,TMT,96.0,115.8148200089903
6,Day1,C4620083,M2,PeanutButter,Vanilla,NonTMT,87.0,76.99590900313922
7,Day1,C4620083,M2,PeanutButter,PeanutButter,NonTMT,95.0,114.78885839893739
8,Day1,C4620083,M2,PeanutButter,TMT,TMT,80.0,72.01735329388337
0,Day1,C4620083,M3,Water,Vanilla,NonTMT,46.0,88.54761865020387
1,Day1,C4620083,M3,Water,PeanutButter,NonTMT,129.0,218.1819034435162
2,Day1,C4620083,M3,Water,TMT,TMT,117.0,156.54017988468
3,Day1,C4620083,M3,Vanilla,Vanilla,NonTMT,128.0,216.89648587765188
4,Day1,C4620083,M3,Vanilla,PeanutButter,NonTMT,54.0,115.7789183406342
5,Day1,C4620083,M3,Vanilla,TMT,TMT,66.0,118.300791002135
6,Day1,C4620083,M3,PeanutButter,Vanilla,NonTMT,118.0,157.3523030439931
7,Day1,C4620083,M3,PeanutButter,PeanutButter,NonTMT,66.0,117.81327968696468
8,Day1,C4620083,M3,PeanutButter,TMT,TMT,72.0,79.48606611616897
0,Day1,C4620083,M4,Water,Vanilla,NonTMT,86.0,103.56521761034882
1,Day1,C4620083,M4,Water,PeanutButter,NonTMT,93.0,134.5021073156479
2,Day1,C4620083,M4,Water,TMT,TMT,92.0,106.13307142927573
3,Day1,C4620083,M4,Vanilla,Vanilla,NonTMT,87.0,127.93658608922782
4,Day1,C4620083,M4,Vanilla,PeanutButter,NonTMT,80.0,137.7612997388368
5,Day1,C4620083,M4,Vanilla,TMT,TMT,93.0,132.85294678671664
6,Day1,C4620083,M4,PeanutButter,Vanilla,NonTMT,95.0,108.69698121515796
7,Day1,C4620083,M4,PeanutButter,PeanutButter,NonTMT,92.0,131.4864913846549
8,Day1,C4620083,M4,PeanutButter,TMT,TMT,88.0,99.82402652198653
0,Day1,C4620081,M2,Water,Vanilla,NonTMT,70.0,109.98426611787059
1,Day1,C4620081,M2,Water,PeanutButter,NonTMT,108.0,185.15221877339116
2,Day1,C4620081,M2,Water,TMT,TMT,84.0,113.20554623232968
3,Day1,C4620081,M2,Vanilla,Vanilla,NonTMT,108.0,185.58624761278136
4,Day1,C4620081,M2,Vanilla,PeanutButter,NonTMT,73.0,156.08035182939244
5,Day1,C4620081,M2,Vanilla,TMT,TMT,97.0,157.36225098435514
6,Day1,C4620081,M2,PeanutButter,Vanilla,NonTMT,87.0,116.86390877798151
7,Day1,C4620081,M2,PeanutButter,PeanutButter,NonTMT,96.0,156.47833693176736
8,Day1,C4620081,M2,PeanutButter,TMT,TMT,86.0,98.30699901484662
0,Day1,C4620081,M3,Water,Vanilla,NonTMT,84.0,76.29849133753125
1,Day1,C4620081,M3,Water,PeanutButter,NonTMT,88.0,118.1823430536845
2,Day1,C4620081,M3,Water,TMT,TMT,92.0,84.20688660536337
3,Day1,C4620081,M3,Vanilla,Vanilla,NonTMT,88.0,118.45043931490007
4,Day1,C4620081,M3,Vanilla,PeanutButter,NonTMT,61.0,106.85159205211431
5,Day1,C4620081,M3,Vanilla,TMT,TMT,108.0,137.08137437465356
6,Day1,C4620081,M3,PeanutButter,Vanilla,NonTMT,97.0,87.69385341289089
7,Day1,C4620081,M3,PeanutButter,PeanutButter,NonTMT,105.0,134.5324673333741
8,Day1,C4620081,M3,PeanutButter,TMT,TMT,77.0,74.8133033136391
0,Day1,C4620081,M4,Water,Vanilla,NonTMT,89.0,110.63881222382955
1,Day1,C4620081,M4,Water,PeanutButter,NonTMT,92.0,126.06735303958489
2,Day1,C4620081,M4,Water,TMT,TMT,91.0,113.39860085223879
3,Day1,C4620081,M4,Vanilla,Vanilla,NonTMT,88.0,121.53546060535479
4,Day1,C4620081,M4,Vanilla,PeanutButter,NonTMT,94.0,138.94206286632934
5,Day1,C4620081,M4,Vanilla,TMT,TMT,88.0,121.88355060250592
6,Day1,C4620081,M4,PeanutButter,Vanilla,NonTMT,95.0,117.145489028782
7,Day1,C4620081,M4,PeanutButter,PeanutButter,NonTMT,87.0,121.27102880414915
8,Day1,C4620081,M4,PeanutButter,TMT,TMT,83.0,105.19491724145702
0,Day1,C4620081,M5,Water,Vanilla,NonTMT,69.0,60.33336862665897
1,Day1,C4620081,M5,Water,PeanutButter,NonTMT,104.0,77.72378943118703
2,Day1,C4620081,M5,Water,TMT,TMT,115.0,77.84360464721712
3,Day1,C4620081,M5,Vanilla,Vanilla,NonTMT,103.0,77.38732802530592
4,Day1,C4620081,M5,Vanilla,PeanutButter,NonTMT,82.0,59.94580861889099
5,Day1,C4620081,M5,Vanilla,TMT,TMT,74.0,51.098382951123305
6,Day1,C4620081,M5,PeanutButter,Vanilla,NonTMT,109.0,75.48085605615789
7,Day1,C4620081,M5,PeanutButter,PeanutButter,NonTMT,77.0,52.64619264143226
8,Day1,C4620081,M5,PeanutButter,TMT,TMT,69.0,44.326135120547804
0,Day14,C4620081,M1,Water,Vanilla,NonTMT,86.0,97.820595582229
1,Day14,C4620081,M1,Water,PeanutButter,NonTMT,87.0,110.26586203156205
2,Day14,C4620081,M1,Water,TMT,TMT,89.0,94.86656383790954
3,Day14,C4620081,M1,Vanilla,Vanilla,NonTMT,89.0,112.30451702804676
4,Day14,C4620081,M1,Vanilla,PeanutButter,NonTMT,93.0,125.70048882352984
5,Day14,C4620081,M1,Vanilla,TMT,TMT,91.0,108.2567533816877
6,Day14,C4620081,M1,PeanutButter,Vanilla,NonTMT,89.0,94.21880904393588
7,Day14,C4620081,M1,PeanutButter,PeanutButter,NonTMT,91.0,108.16280598809195
8,Day14,C4620081,M1,PeanutButter,TMT,TMT,94.0,91.05246899943567
0,Day14,C4620081,M2,Water,Vanilla,NonTMT,89.0,86.22096073743805
1,Day14,C4620081,M2,Water,PeanutButter,NonTMT,90.0,100.51929717397462
2,Day14,C4620081,M2,Water,TMT,TMT,95.0,86.63555453988734
3,Day14,C4620081,M2,Vanilla,Vanilla,NonTMT,92.0,102.5471214374988
4,Day14,C4620081,M2,Vanilla,PeanutButter,NonTMT,90.0,112.86828779221317
5,Day14,C4620081,M2,Vanilla,TMT,TMT,83.0,91.6843044610583
6,Day14,C4620081,M2,PeanutButter,Vanilla,NonTMT,88.0,81.99256692811208
7,Day14,C4620081,M2,PeanutButter,PeanutButter,NonTMT,90.0,97.27160996846642
8,Day14,C4620081,M2,PeanutButter,TMT,TMT,87.0,77.29955370310068
0,Day14,C4620081,M3,Water,Vanilla,NonTMT,80.0,73.62409759895456
1,Day14,C4620081,M3,Water,PeanutButter,NonTMT,84.0,84.18994733671165
2,Day14,C4620081,M3,Water,TMT,TMT,99.0,82.27035081222066
3,Day14,C4620081,M3,Vanilla,Vanilla,NonTMT,90.0,88.70144420422086
4,Day14,C4620081,M3,Vanilla,PeanutButter,NonTMT,83.0,90.12033314204776
5,Day14,C4620081,M3,Vanilla,TMT,TMT,97.0,89.71266002153978
6,Day14,C4620081,M3,PeanutButter,Vanilla,NonTMT,100.0,82.85230088463855
7,Day14,C4620081,M3,PeanutButter,PeanutButter,NonTMT,94.0,87.72728780471958
8,Day14,C4620081,M3,PeanutButter,TMT,TMT,78.0,64.0550979078627
0,Day14,C4620081,M4,Water,Vanilla,NonTMT,85.0,121.46018417442255
1,Day14,C4620081,M4,Water,PeanutButter,NonTMT,97.0,171.91146059519644
2,Day14,C4620081,M4,Water,TMT,TMT,84.0,119.7501991012914
3,Day14,C4620081,M4,Vanilla,Vanilla,NonTMT,100.0,174.94647134386074
4,Day14,C4620081,M4,Vanilla,PeanutButter,NonTMT,75.0,165.0848029767678
5,Day14,C4620081,M4,Vanilla,TMT,TMT,100.0,174.24660052826835
6,Day14,C4620081,M4,PeanutButter,Vanilla,NonTMT,83.0,118.13694082876812
7,Day14,C4620081,M4,PeanutButter,PeanutButter,NonTMT,102.0,176.15738262797223
8,Day14,C4620081,M4,PeanutButter,TMT,TMT,83.0,117.62723987863461
0,Day14,C4620081,M5,Water,Vanilla,NonTMT,90.0,63.013296841216416
1,Day14,C4620081,M5,Water,PeanutButter,NonTMT,88.0,71.26265926029184
2,Day14,C4620081,M5,Water,TMT,TMT,92.0,62.574495987282894
3,Day14,C4620081,M5,Vanilla,Vanilla,NonTMT,89.0,71.553447199909
4,Day14,C4620081,M5,Vanilla,PeanutButter,NonTMT,84.0,76.36147145946651
5,Day14,C4620081,M5,Vanilla,TMT,TMT,95.0,74.18739591844557
6,Day14,C4620081,M5,PeanutButter,Vanilla,NonTMT,93.0,63.109112123319434
7,Day14,C4620081,M5,PeanutButter,PeanutButter,NonTMT,97.0,75.21005060358989
8,Day14,C4620081,M5,PeanutButter,TMT,TMT,81.0,55.00121125140327
0,Day14,C4620083,M1,Water,Vanilla,NonTMT,88.0,155.28674043078098
1,Day14,C4620083,M1,Water,PeanutButter,NonTMT,85.0,166.66146025134876
2,Day14,C4620083,M1,Water,TMT,TMT,97.0,200.74052489346874
3,Day14,C4620083,M1,Vanilla,Vanilla,NonTMT,87.0,170.20558993127307
4,Day14,C4620083,M1,Vanilla,PeanutButter,NonTMT,76.0,165.34830077681485
5,Day14,C4620083,M1,Vanilla,TMT,TMT,108.0,234.3007866178827
6,Day14,C4620083,M1,PeanutButter,Vanilla,NonTMT,97.0,201.05520607715783
7,Day14,C4620083,M1,PeanutButter,PeanutButter,NonTMT,108.0,234.10070150098815
8,Day14,C4620083,M1,PeanutButter,TMT,TMT,64.0,163.72807106026346
0,Day14,C4620083,M2,Water,Vanilla,NonTMT,86.0,120.24088220208591
1,Day14,C4620083,M2,Water,PeanutButter,NonTMT,95.0,149.66586124187296
2,Day14,C4620083,M2,Water,TMT,TMT,90.0,108.31847852996508
3,Day14,C4620083,M2,Vanilla,Vanilla,NonTMT,94.0,148.1084118874058
4,Day14,C4620083,M2,Vanilla,PeanutButter,NonTMT,83.0,150.31649907671064
5,Day14,C4620083,M2,Vanilla,TMT,TMT,94.0,134.145081758825
6,Day14,C4620083,M2,PeanutButter,Vanilla,NonTMT,89.0,107.48180655602214
7,Day14,C4620083,M2,PeanutButter,PeanutButter,NonTMT,93.0,133.3855360531343
8,Day14,C4620083,M2,PeanutButter,TMT,TMT,86.0,86.55678202839742
0,Day14,C4620083,M3,Water,Vanilla,NonTMT,84.0,68.4251846612775
1,Day14,C4620083,M3,Water,PeanutButter,NonTMT,100.0,114.65524892563428
2,Day14,C4620083,M3,Water,TMT,TMT,86.0,72.95769523041919
3,Day14,C4620083,M3,Vanilla,Vanilla,NonTMT,91.0,108.29200207965573
4,Day14,C4620083,M3,Vanilla,PeanutButter,NonTMT,82.0,124.02533880918772
5,Day14,C4620083,M3,Vanilla,TMT,TMT,96.0,114.37833213246785
6,Day14,C4620083,M3,PeanutButter,Vanilla,NonTMT,91.0,76.09333162890658
7,Day14,C4620083,M3,PeanutButter,PeanutButter,NonTMT,89.0,108.69461046583335
8,Day14,C4620083,M3,PeanutButter,TMT,TMT,89.0,77.9691793920645
0,Day30,C4620083,M2,Water,Vanilla,NonTMT,74.0,93.16489029531918
1,Day30,C4620083,M2,Water,PeanutButter,NonTMT,100.0,127.50925253154469
2,Day30,C4620083,M2,Water,TMT,TMT,96.0,102.43901940708416
3,Day30,C4620083,M2,Vanilla,Vanilla,NonTMT,102.0,129.10010614838782
4,Day30,C4620083,M2,Vanilla,PeanutButter,NonTMT,83.0,118.81038585700487
5,Day30,C4620083,M2,Vanilla,TMT,TMT,82.0,100.20510302919445
6,Day30,C4620083,M2,PeanutButter,Vanilla,NonTMT,96.0,102.49794049271591
